;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;
;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;Transient;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;Singleton;Singleton;Singleton;Singleton;Singleton;Singleton;Transient;Transient;Transient;Transient;Transient;Transient;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;TransientSingleton;PerThread;PerThread;PerThread;PerThread;PerThread;PerThread;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;FactoryMethod;
;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1009;1009;1009;1;1;1;10;10;10;100;100;100;1009;1009;1009;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;100;100;100;1000;1000;1000;1;1;1;10;10;10;1;1;1;10;10;10;1;1;1;10;10;10;1;1;1;10;10;10;1;1;1;10;10;10;
;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;Min;Max;Avg;
Autofac;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;6;60;62;61;595;636;604;0;0;0;6;6;6;54;60;55;541;544;542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;21;23;21;192;196;194;1909;1996;1932;1;1;1;18;24;19;171;174;173;1715;1748;1727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;23;24;23;228;233;230;2273;2406;2302;1;2;2;19;21;20;182;189;185;1809;1852;1831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134;149;144;1162;1180;1169;77;82;78;896;962;918;0;0;0;0;0;0;0;0;0;0;0;0;
DryIoc;2;2;2;2;2;2;2;2;2;2;2;2;14;14;14;14;15;14;16;17;16;29;30;29;18;18;18;19;19;19;20;21;20;31;32;31;70;71;71;71;72;71;71;72;71;71;73;71;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;8;8;8;8;8;8;8;8;43;43;43;44;45;44;50;51;50;97;98;98;56;57;56;57;57;57;63;64;63;108;109;108;243;274;248;243;271;255;244;245;244;244;246;245;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;39;40;39;40;40;40;47;47;47;98;112;102;59;60;59;60;61;60;64;70;66;104;106;105;155;172;158;155;157;156;155;158;156;156;157;156;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;11;10;977;1042;994;1009;1015;1012;892;914;897;923;981;940;1027;1034;1030;1028;1048;1032;0;0;0;0;0;0;
Grace;2;2;2;2;2;2;2;2;2;2;2;2;15;16;15;15;16;16;18;18;18;36;37;37;9;10;9;10;11;10;10;12;11;18;21;19;4;7;4;4;7;4;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;8;8;8;8;8;8;8;8;50;51;50;51;52;51;57;58;57;121;126;122;30;31;30;30;31;30;34;36;34;67;70;68;13;13;13;13;13;13;13;13;13;13;13;13;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;61;61;61;61;63;62;72;74;72;151;158;154;22;23;23;22;24;23;25;26;25;43;44;44;8;8;8;8;8;8;8;8;8;8;8;8;0;0;0;0;0;0;0;0;0;0;0;0;16;18;16;16;18;17;1386;1464;1402;1466;1489;1480;363;400;373;370;393;376;28;28;28;28;28;28;0;0;0;0;0;0;
LightInject;2;2;2;2;2;2;2;2;2;2;2;2;10;10;10;10;10;10;11;12;11;19;20;19;14;14;14;14;14;14;14;15;14;20;20;20;50;51;50;50;50;50;50;54;50;50;51;50;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;6;6;6;6;6;6;6;7;6;31;32;32;32;32;32;37;37;37;70;71;70;47;49;48;48;49;48;51;52;51;80;81;80;408;420;411;410;450;420;409;429;414;409;415;412;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;36;37;36;36;37;37;43;44;44;86;87;86;51;53;52;52;53;52;55;56;56;83;85;84;523;529;526;524;538;527;525;601;549;523;530;526;0;0;0;0;0;0;0;0;0;0;0;0;14;14;14;14;14;14;794;815;809;837;865;851;1283;1353;1300;1287;1308;1298;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;
Ninject;3;3;3;3;3;3;3;3;3;6;6;6;10;11;11;90;93;91;884;919;900;8921;9744;9148;9;10;10;67;68;67;636;665;646;6423;7068;6579;3;3;3;3;3;3;3;3;3;6;6;6;0;0;0;0;0;0;1;1;1;3;4;4;9;9;9;9;9;9;9;10;9;12;13;12;36;38;37;282;291;285;2796;3632;2931;28872;31886;29404;30;44;33;220;228;223;2078;2110;2092;21009;21823;21363;9;9;9;9;9;9;9;10;9;12;12;12;0;0;0;0;0;0;0;0;0;3;4;4;6;6;6;6;6;6;6;7;6;9;10;9;39;45;41;354;396;372;3498;4020;3677;37696;38865;38216;26;27;26;203;213;207;1952;1985;1964;19413;21887;20025;6;6;6;6;6;6;6;6;6;9;10;9;0;0;0;0;0;0;0;0;0;3;4;3;21;21;21;21;21;21;1034;1055;1042;10222;10884;10418;513;525;517;4847;5097;4909;21;21;21;21;22;21;0;0;0;0;0;0;
NiquIoCPartial;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;19;19;19;169;172;170;1;1;1;2;2;2;14;14;14;119;128;120;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;10;10;10;57;60;58;525;533;528;4;5;5;8;9;8;41;42;41;361;366;364;4;5;4;4;5;4;4;4;4;4;5;4;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;10;11;10;72;80;75;679;689;682;3;3;3;6;7;6;38;39;38;346;357;348;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;8;9;8;8;9;8;36;37;36;285;289;286;17;17;17;100;101;101;8;9;8;8;9;8;0;0;0;0;0;0;
NiquIoCFull;2;2;2;2;2;2;2;2;2;2;2;2;8;9;8;8;8;8;9;10;9;18;18;18;5;6;5;5;5;5;6;6;6;10;10;10;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;8;8;8;8;8;8;8;8;26;26;26;26;27;26;32;32;32;66;67;66;16;16;16;16;16;16;18;18;18;37;38;38;8;8;8;8;8;8;8;8;8;8;8;8;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;31;31;31;31;32;31;38;39;38;81;91;84;12;13;12;12;14;13;13;26;15;25;34;28;5;5;5;5;5;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;18;18;18;18;18;18;562;566;564;621;634;625;143;145;144;150;152;151;18;18;18;18;18;18;0;0;0;0;0;0;
SimpleInjector;2;2;2;2;2;2;2;2;2;2;2;2;13;14;13;13;14;13;15;15;15;28;29;29;9;9;9;9;9;9;10;10;10;17;18;17;7;8;7;7;8;8;7;8;8;8;8;8;0;0;0;0;0;0;0;0;0;0;0;0;6;7;6;6;10;7;6;7;6;6;6;6;40;40;40;40;41;41;47;47;47;94;96;95;27;28;28;28;28;28;32;32;32;60;61;61;23;23;23;23;23;23;23;23;23;23;23;23;0;0;0;0;0;0;0;0;0;0;1;0;4;4;4;4;4;4;4;4;4;4;4;4;40;41;40;41;43;41;49;50;49;114;114;114;21;21;21;21;22;21;23;24;23;44;44;44;15;16;16;15;16;16;15;16;16;16;16;16;0;0;0;0;0;0;0;0;0;0;0;0;11;12;11;11;12;12;176;197;183;205;229;212;85;86;85;90;92;91;46;46;46;46;47;46;0;0;0;0;0;0;
StructureMap;9;9;9;9;10;9;9;10;9;10;10;10;10;10;10;13;14;14;53;57;54;417;431;420;9;10;9;12;12;12;35;36;36;253;290;258;9;9;9;9;10;9;9;9;9;10;10;10;0;0;0;0;0;0;0;0;0;1;1;1;32;32;32;32;33;32;32;33;32;33;34;33;33;35;34;46;47;47;164;189;168;1316;1465;1358;33;33;33;39;41;40;111;114;112;793;807;797;32;32;32;32;32;32;32;32;32;33;34;33;0;0;0;0;0;0;0;0;0;1;1;1;22;22;22;22;22;22;22;23;22;23;23;23;26;26;26;40;41;40;179;181;180;1531;1558;1544;22;25;23;29;33;31;79;108;85;544;549;547;22;22;22;22;22;22;22;22;22;23;23;23;0;0;0;0;0;0;0;0;0;1;1;1;48;49;49;48;49;48;101;103;102;589;596;592;60;61;60;165;168;166;48;49;49;48;49;49;0;0;0;0;0;0;
Unity;7;7;7;7;8;7;7;7;7;8;8;8;8;9;8;15;16;15;85;86;86;778;807;786;8;9;8;14;16;15;72;84;75;646;668;650;7;7;7;7;7;7;7;7;7;8;8;8;0;0;0;0;0;0;0;0;0;1;1;1;23;23;23;23;23;23;23;24;23;24;24;24;27;28;27;48;49;48;257;260;257;2319;2427;2336;27;27;27;45;46;45;222;251;227;1994;2181;2031;23;25;23;23;23;23;23;24;23;24;24;24;0;0;0;0;0;0;0;0;0;1;1;1;15;16;15;15;16;15;15;15;15;16;16;16;18;19;18;46;50;46;310;315;311;2940;3130;2966;18;25;19;39;48;41;239;242;240;2231;2265;2241;15;16;15;15;16;15;15;16;15;16;16;16;0;0;0;0;0;0;0;0;0;1;1;1;51;52;51;51;52;51;148;154;149;1061;1123;1070;114;116;114;681;728;700;51;52;51;51;52;52;0;0;0;0;0;0;
Windsor;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;15;16;15;146;159;148;1448;1733;1485;1;1;1;11;14;12;110;116;111;1087;1095;1091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;48;54;49;461;484;465;4590;6043;4768;3;4;3;35;41;38;338;393;354;3374;3776;3544;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;7;58;68;60;579;729;629;5644;6711;5938;3;3;3;32;54;38;316;329;318;3131;3299;3164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177;192;180;1803;1918;1843;83;84;83;830;841;834;0;0;0;0;0;0;0;0;0;0;0;0;
